Kinase,Model,CV Mean R²,CV Std R²,Test R²,Test MSE,GeneName
O00418,RandomForest,-0.4572055609801276,0.321889477595916,-0.0856953346197004,1.9636180704212869,EEF2K
O00418,XGBoost,-1.7110036875778447,1.3040692799225369,-0.3654678833073874,2.4696223007916736,EEF2K
O00418,PLS,-0.3731945371103444,0.323411286732832,0.0994885146673926,1.6286895308806049,EEF2K
O00418,SVR,-0.3953348059989485,0.4285389022474773,0.1192333539128142,1.5929784783379928,EEF2K
O00418,Lasso,-0.197123709976116,0.1622091852202537,0.051978728745909,1.714617020096491,EEF2K
O00418,ElasticNet,-0.2121408413475493,0.1838058080420396,0.0930863631561297,1.6402686359906904,EEF2K
O00418,GradientBoosting,-1.6134623849483003,0.6489081127190437,-0.3168186060725553,2.381633896637102,EEF2K
O00418,MLP,-0.9962515306585796,1.0863268638143255,0.1780626017222812,1.4865783029071704,EEF2K
O14578,RandomForest,-0.0368320376035345,0.549438993982292,0.0751489928116935,0.4887972654958561,CIT
O14578,XGBoost,-0.3021225948347215,0.8601675501772413,-0.3519028103974548,0.7145003809288102,CIT
O14578,PLS,-0.0486623244085478,0.4223847846841329,0.0121643093700286,0.5220855906370099,CIT
O14578,SVR,0.1258490555636121,0.2283296048966652,0.0152320807077727,0.5204642286777311,CIT
O14578,Lasso,0.2085838855611495,0.1911243644494037,0.2976901283165727,0.3711810249882866,CIT
O14578,ElasticNet,0.1573863403412476,0.2437335367829795,0.2860979811652002,0.37730764407047,CIT
O14578,GradientBoosting,-0.3929321322627579,1.167014862233854,-0.4376235324049826,0.7598050345302512,CIT
O14578,MLP,-0.2132954092748694,0.8082653492824177,-0.0810112480984395,0.5713302336634581,CIT
O15075,RandomForest,0.3853844589923603,0.2778256141361822,-0.4979237259286477,0.3199510512043297,DCLK1
O15075,XGBoost,-1.1236383597235322,1.633254782323972,-1.3352454548904555,0.4987999223052061,DCLK1
O15075,PLS,0.0272442694345661,0.4052611274662686,-0.1528975633779123,0.2462547197488239,DCLK1
O15075,SVR,0.1683837663853095,0.3737297264135131,-0.1817639354631255,0.2524204716714684,DCLK1
O15075,Lasso,-0.0514152917951713,0.0550165038342742,-0.0422510335880867,0.2226210240501872,DCLK1
O15075,ElasticNet,0.0354659977928305,0.1788688559823277,-0.0659432080344839,0.227681586205808,DCLK1
O15075,GradientBoosting,0.0827653697840319,0.3851257115993647,-0.65554260173796,0.3536178689013186,DCLK1
O15075,MLP,-2.7750490621363504,3.2895966937460126,-0.5258079705850398,0.3259070242858832,DCLK1
O43318,RandomForest,-0.9321135035436054,0.5394563085240414,-0.016650981358558,0.663023388548784,MAP3K7
