Kinase,Model,CV Mean R²,CV Std R²,Test R²,Test MSE,GeneName
O00418,RandomForest,0.2293521232782523,0.4677895247239447,0.4402251407817392,5.379335434310662,EEF2K
O00418,XGBoost,-0.2032452477702458,0.6975826836180907,0.4436581173891627,5.346345148295919,EEF2K
O00418,PLS,-0.8763097806616964,1.5762155605810058,0.1715455644044964,7.961297703391667,EEF2K
O00418,SVR,-2.119991610810376,3.662152358788575,0.1471042198030108,8.19617461669317,EEF2K
O00418,Lasso,-0.5720283452180197,1.013604020146348,0.1394536864795844,8.269694862056737,EEF2K
O00418,ElasticNet,-0.5378891629189663,1.0013738098172509,0.1515335095112308,8.153609941477978,EEF2K
O00418,GradientBoosting,0.1575754487955241,0.5674751529246144,0.4939556470141385,4.862994960422572,EEF2K
O00418,MLP,-0.4910375460734749,0.9882282372259124,0.3437558306161499,6.306388105489882,EEF2K
O14578,RandomForest,-0.3571769034162354,0.4226081643421666,0.2306025114348519,0.4989364784181107,CIT
O14578,XGBoost,-0.7545198085200757,0.65801955698727,0.4001157575087126,0.3890110584651012,CIT
O14578,PLS,-0.6622519287047469,1.019287926737611,0.0500351512768775,0.616030235719667,CIT
O14578,SVR,-0.599668083810716,0.5296393558774686,-0.052228134560551,0.6823456116670774,CIT
O14578,Lasso,-0.1946038245768056,0.1255418829434664,-0.1011336320896276,0.7140596958369493,CIT
O14578,ElasticNet,-0.3246651773920234,0.4035145831749582,-0.0161808715706683,0.6589697952391809,CIT
O14578,GradientBoosting,-0.4272473282333287,0.3126587802221647,0.4120933941940791,0.3812438380668215,CIT
O14578,MLP,-2.48376318021142,2.897198518650832,-0.2913516716216764,0.8374116955331131,CIT
O15075,RandomForest,-0.1445776415969736,0.4571165046860955,0.4341109459689659,1.128972293305477,DCLK1
O15075,XGBoost,-0.2346747158362156,0.5293216059541612,0.2241989357564432,1.5477555192291188,DCLK1
