Kinase,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
O00418,GradientBoosting,0.15757544879552415,0.5674751529246144,0.4939556470141385,4.862994960422572
O14578,GradientBoosting,-0.4272473282333287,0.31265878022216476,0.4120933941940791,0.38124383806682155
O15075,RandomForest,-0.14457764159697367,0.45711650468609555,0.43411094596896593,1.128972293305477
O43318,ElasticNet,-0.2298686381503805,0.21607047886229483,-0.056105507580655134,0.5476072719780944
O43353,PLS,0.36488776764413355,0.5308946103821317,0.8511542312171742,0.24787149187101765
O43683,Lasso,-0.006128498850879516,0.21556919447203501,-0.24131961943186497,0.7496671475521268
O60885,GradientBoosting,-1.866015345260418,2.8446550898776226,0.6116581410032897,0.1998837429340617
O75385,RandomForest,-0.787703564786679,0.6528982723785295,0.22288058442981062,0.27202265509470397
O75676,SVR,-0.587329740264147,0.5733159438511723,0.2358373815297652,0.6223622733570081
O76039,RandomForest,-0.6789763216921995,0.6405736564234445,0.29243019944331905,0.46083473933858415
O94804,GradientBoosting,-0.29809670402681726,0.28230830985285493,0.03097613916661779,1.315774061745608
O94806,PLS,0.13068185403399657,0.2983052163775144,0.5954461553133938,0.364352708448927
O94921,Lasso,-0.19231644418975138,0.17588183777822322,-0.14142003639971845,0.38162463482153136
O95819,RandomForest,-0.2766488204602083,0.2431742262518976,0.09969513933649399,0.7732318629437303
O95835,RandomForest,-0.3805201751715939,0.43191871992782505,0.2476219562369717,0.7595509872383912
O96013,PLS,0.44478174730533004,0.40446284615877665,0.6793692231983937,0.6692247118995608
P00519,PLS,-0.13852202094302893,0.21719172914368876,0.14852541101221084,0.6367077616512774
P04049,XGBoost,-3.848961793038511,6.43895048034471,-0.024128397445344563,1.4653933735821594
P04626,GradientBoosting,-1.0711132171265307,0.8779828686269084,0.11942298150144814,0.6516217162958572
P06493,MLP,-0.29112859741384434,0.2780436824400174,0.099568496931561,2.499612689223898
P10398,Lasso,-0.26022855980409443,0.4083361781816018,-0.012840791162576526,0.2693005654932979
P11274,ElasticNet,-0.4326723095672807,0.914140100970385,0.17317398959944252,0.8436924641476388
P15056,RandomForest,-1.1946519564503177,0.9953887418192274,0.14466180438983078,1.9560453303046177
P23443,ElasticNet,-0.009563845621058387,0.38582336166253073,0.26498276739132653,1.060062558443347
P27361,RandomForest,-0.31747479633147757,0.44626436576341677,0.057897093288025725,1.0756286291047785
P27448,GradientBoosting,-1.0454813679109016,2.3807945059039426,-0.12622396570351846,0.7633870224900171
P30291,XGBoost,-2.547918566187225,4.897041058502067,0.23821359534162634,1.7341070255009672
P31749,RandomForest,-0.4217512732035756,1.3669324085810957,0.2841461992338066,1.8816522146249017
P33981,SVR,-2.2745934048111134,3.180172032169309,-0.004391089990023023,0.9130590835685088
P42345,SVR,-0.4850404496254407,0.2890132560461472,-0.11159820097278073,1.2222589109630193
P48730,RandomForest,-0.9906395998915223,0.8680880558868931,0.20658679487401665,0.8664167897689891
P49759,PLS,-0.8410411565786233,1.3736610072752893,0.11818648391232844,1.1104904196688004
P49761,MLP,-0.7550336867921426,0.7431981555869859,0.32166089262247977,0.7292955941794622
P49841,GradientBoosting,-1.4426177037787067,2.421778241677755,0.6292427953252255,0.4289569265455257
P51812,RandomForest,-0.11980354478386646,0.2851524031206203,-0.012513788322913832,1.294725370648063
P51957,MLP,-0.06482402236016278,0.3520368234315247,-0.016801743869423014,0.27554012711351367
P54646,XGBoost,-0.7911553171091759,0.4762877010363085,0.44076127580829505,0.6425230228919951
P78527,RandomForest,-0.15221151592731527,0.12741010794564117,0.2483237674200316,0.5721816447056403
Q00536,RandomForest,-0.30261482692235536,0.42635238277056076,0.012564684303746798,1.0212906457703725
Q00537,SVR,-0.5304579067367214,0.5492783153076746,0.03526646006139511,0.5668117164440583
Q05397,RandomForest,-0.822068367548803,1.0223923483532917,-0.004926124478585869,0.6440487012982208
Q05655,Lasso,-0.3483365775730864,0.6205535956541873,-0.060280370444725895,1.446496543945721
Q06187,Lasso,-0.21230593600796385,0.46396080237159726,-0.11688516622390965,1.7924207406541393
Q07002,RandomForest,-0.4190000493735136,0.3122519552020888,-0.1202842332586187,0.9089848243779063
Q13043,GradientBoosting,-0.99609168914318,1.2826421096432115,0.6674512684984186,0.5072252685164911
Q13131,MLP,-0.45154628987149914,0.7909837711601921,-0.004977645519527174,1.2684051801253664
Q13153,SVR,-0.1914148235149073,0.2691405371727058,-0.019132777018252556,1.7508006230188482
Q13177,SVR,-0.6500156031973646,0.42479086277472583,0.02780890552762605,0.8755773901761141
Q13233,Lasso,-0.32675313220330027,0.4448263597981066,0.012872381416798362,1.6639287420215763
Q13263,GradientBoosting,-0.4377251320318008,0.6574955180897009,0.1726524545648418,0.29766932378334565
Q13555,ElasticNet,0.06061771667223548,0.2888298443519758,0.21727074027323767,1.5043660336839793
