Kinase,GeneName,Model,CV Mean R²,CV Std R²,Test R²,Test MSE
Q9UKE5,TNIK,SVR,0.94989131279353,0.0216356017777842,0.9754457897458716,0.0105480571877611
O43353,RIPK2,PLS,0.3648877676441335,0.5308946103821317,0.8511542312171742,0.2478714918710176
Q96QT4,TRPM7,PLS,0.7638931181426971,0.0586558796121786,0.699394153003629,0.2864592791595642
O96013,PAK4,PLS,0.44478174730533,0.4044628461587766,0.6793692231983937,0.6692247118995608
Q13043,STK4,GradientBoosting,-0.99609168914318,1.2826421096432117,0.6674512684984186,0.5072252685164911
P49841,GSK3B,GradientBoosting,-1.442617703778707,2.421778241677755,0.6292427953252255,0.4289569265455257
O60885,BRD4,GradientBoosting,-1.866015345260418,2.8446550898776226,0.6116581410032897,0.1998837429340617
Q96SB4,SRPK1,PLS,-0.0854898337070832,0.5168496200941969,0.6039294335450266,0.4842441244357439
O94806,PRKD3,PLS,0.1306818540339965,0.2983052163775144,0.5954461553133938,0.364352708448927
O00418,EEF2K,GradientBoosting,0.1575754487955241,0.5674751529246144,0.4939556470141385,4.862994960422572
